FAIL credenciales/defaults hardcodeados:
('audit_kpis_junio_2026.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_SQL_FIRST_ENABLED', 'false')")
('server.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('CORS_ORIGINS', 'http://localhost:3000')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_ORIGEN_URL", "http://54.39.104.176:8000/query")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_ORIGEN_URL", "http://54.39.104.176:8000/query")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_HOST', '187.188.198.241')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_PORT', '51741')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_DB', 'Abordo')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_USER', 'sa')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_PASS', 'Sr2022$')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_HOST', '187.188.198.241')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_PORT', '51742')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_DB', 'Bordo')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_USER', 'sa')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_PASS', 'Sr2022$')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_HOST', '187.188.198.241')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_PORT', '51743')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_DB', 'Abordo')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_USER', 'sa')")
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_PASS', 'Sr2022$')")
