lista,proveedor,codigo,codigo_padded,producto,tipo,familia_codigo,familia,subfamilia_codigo,barras,uc,uv
ORIGEN,0000001077 - POS ORIGEN,8621,0000008621,CORTADILLO ORIGEN,KIT,0000,SIN FAMILIA,,9900862100003,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8704,0000008704,SANDWICH DE SHORT RIB,KIT,0000,SIN FAMILIA,,9900870400003,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,9025,0000009025,D EXTRA ARRACHERA P/DESAYUNOS 120 GR,KIT,0002,EXTRAS Y TOOPPING,,9900902500008,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,9023,0000009023,D EXTRA HUEVOS P/DESAYUNOS (2) PZ,KIT,0002,EXTRAS Y TOOPPING,,9900902300004,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,9024,0000009024,D EXTRA POLLO PECHUGA DE P/DESAYUNOS 120 GR,KIT,0002,EXTRAS Y TOOPPING,,9900902400001,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,9066,0000009066,D EXTRA PORK BELLY P/DESAYUNOS,KIT,0002,EXTRAS Y TOOPPING,,9900906600001,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8098,0000008098,EXTRA DE BOLA DE HELADO,KIT,0002,EXTRAS Y TOOPPING,,9900809800003,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,5041,0000005041,EXTRA DE BOLA DE HELADO KETO,KIT,0002,EXTRAS Y TOOPPING,,9900504100002,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8151,0000008151,EXTRA DE CHIMICHURRI,KIT,0002,EXTRAS Y TOOPPING,,9900815100005,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8156,0000008156,EXTRA DE CHOCOLATE GLASEADO,KIT,0002,EXTRAS Y TOOPPING,,9900815600000,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,9602,0000009602,EXTRA DE CHORIZO,KIT,0002,EXTRAS Y TOOPPING,,9900960200001,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8157,0000008157,EXTRA DE CREMA DE PISTACHE,KIT,0002,EXTRAS Y TOOPPING,,9900815700007,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,1070,0000001070,EXTRA DE GUACAMOLE,KIT,0002,EXTRAS Y TOOPPING,,9900107200000,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8148,0000008148,EXTRA DE PARMESANO,KIT,0002,EXTRAS Y TOOPPING,,9900814800005,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8149,0000008149,EXTRA DE QUESO GOUDA,KIT,0002,EXTRAS Y TOOPPING,,9900814900002,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8530,0000008530,EXTRA DE QUESO P. HAMBURGUESA,KIT,0002,EXTRAS Y TOOPPING,,9900853000008,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,7465,0000007465,EXTRA DE TAQUITO CALLEJERO (1),KIT,0002,EXTRAS Y TOOPPING,,9900746500004,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,7468,0000007468,EXTRA TACO DE CHORIZO (1),KIT,0002,EXTRAS Y TOOPPING,,9900746800005,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,7467,0000007467,EXTRA TACO DE PULPO A LAS BRASAS (1),KIT,0002,EXTRAS Y TOOPPING,,9900746700008,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,7466,0000007466,EXTRA TACO VOLTEADO DE CAMARON (1),KIT,0002,EXTRAS Y TOOPPING,,9900746600001,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,5037,0000005037,FRIJOLES PUERCOS,KIT,0002,EXTRAS Y TOOPPING,,9900503700005,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,4367,0000004367,SERVICIO DE ENTRADA,KIT,0002,EXTRAS Y TOOPPING,,9900436700004,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8132,0000008132,CAFE LATTE,KIT,0003,CAFES Y TES,,9900813200004,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8386,0000008386,CERVEZA BOHEMIA CRISTAL,KIT,0004,CERVEZAS,,9900838600001,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,1407,0000001407,CERVEZA CIENFUEGOS VOLCAN,KIT,0004,CERVEZAS,,9900140900004,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10047,0000010047,CERVEZA CORONA EXTRA,KIT,0004,CERVEZAS,,9901004700006,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,9478,0000009478,CERVEZA EVENTO COMODATO PZ,KIT,0004,CERVEZAS,,9900947800002,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10053,0000010053,CERVEZA MICHELOB ULTRA,KIT,0004,CERVEZAS,,9901005300007,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10065,0000010065,CERVEZA MODELO DORADA CERO,KIT,0004,CERVEZAS,,9901006500000,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10050,0000010050,CERVEZA MODELO ESPECIAL,KIT,0004,CERVEZAS,,9901005000006,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10056,0000010056,CERVEZA NEGRA MODELO,KIT,0004,CERVEZAS,,9901005600008,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10059,0000010059,CERVEZA PACIFICO,KIT,0004,CERVEZAS,,9901005900009,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10062,0000010062,CERVEZA STELLA ARTOIS,KIT,0004,CERVEZAS,,9901006200009,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8384,0000008384,CERVEZA TECATE 0.0,KIT,0004,CERVEZAS,,9900838400007,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,4447,0000004447,CERVEZA TECATE ORIGINAL,KIT,0004,CERVEZAS,,9900444700003,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,10044,0000010044,CERVEZA VICTORIA,KIT,0004,CERVEZAS,,9901004400005,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,4359,0000004359,ENSALADA DE CITRICOS,KIT,0005,ENSALADAS,,9900435900009,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,4665,0000004665,ENSALADA ORIGEN,KIT,0005,ENSALADAS,,9900466500001,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,845,0000000845,ENSALADA TIBIA DE CHAYOTE AL CARBON,KIT,0005,ENSALADAS,,9900084700005,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,7058,0000007058,AGUACHILE DE NEW YORK,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900705800008,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,7394,0000007394,AGUACHILE NEGRO,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900739400007,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,4370,0000004370,BARBACOA MONTERREY,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900437000004,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,4355,0000004355,BETABEL A LAS BRASAS CON CITRICOS,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900435500001,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,863,0000000863,BETABELES A LA BRASA CON CITRICOS,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900086500009,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,899,0000000899,CAZUELITA DE CAMARONES,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900090100004,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,7236,0000007236,CEBOLLITAS MIGNON,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900723600000,PZ,PZ
ORIGEN,0000001077 - POS ORIGEN,8861,0000008861,CEVICHE MIXTO,KIT,0006,ENTRADAS Y COMPLEMENTOS,,9900886100003,PZ,PZ
