application,dependency_type,name,declared_spec,installed_version,status
frontend,DEPENDENCY,@google/generative-ai,^0.24.1,0.24.1,INSTALLED
frontend,DEPENDENCY,@hookform/resolvers,^5.0.1,5.2.2,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-accordion,^1.2.8,1.2.12,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-alert-dialog,^1.1.11,1.1.15,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-aspect-ratio,^1.1.4,1.1.8,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-avatar,^1.1.7,1.1.11,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-checkbox,^1.2.3,1.3.3,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-collapsible,^1.1.8,1.1.12,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-context-menu,^2.2.12,2.2.16,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-dialog,^1.1.11,1.1.15,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-dropdown-menu,^2.1.12,2.1.16,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-hover-card,^1.1.11,1.1.15,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-label,^2.1.4,2.1.8,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-menubar,^1.1.12,1.1.16,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-navigation-menu,^1.2.10,1.2.14,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-popover,^1.1.11,1.1.15,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-progress,^1.1.4,1.1.8,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-radio-group,^1.3.4,1.3.8,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-scroll-area,^1.2.6,1.2.10,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-select,^2.2.2,2.2.6,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-separator,^1.1.4,1.1.8,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-slider,^1.3.2,1.3.6,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-slot,^1.2.0,1.2.4,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-switch,^1.2.2,1.2.6,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-tabs,^1.1.9,1.1.13,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-toast,^1.2.11,1.2.15,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-toggle,^1.1.6,1.1.10,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-toggle-group,^1.1.7,1.1.11,INSTALLED
frontend,DEPENDENCY,@radix-ui/react-tooltip,^1.2.4,1.2.8,INSTALLED
frontend,DEPENDENCY,axios,^1.8.4,1.13.2,INSTALLED
frontend,DEPENDENCY,class-variance-authority,^0.7.1,0.7.1,INSTALLED
frontend,DEPENDENCY,clsx,^2.1.1,2.1.1,INSTALLED
frontend,DEPENDENCY,cmdk,^1.1.1,1.1.1,INSTALLED
frontend,DEPENDENCY,cra-template,1.2.0,1.2.0,INSTALLED
frontend,DEPENDENCY,date-fns,^4.1.0,4.1.0,INSTALLED
frontend,DEPENDENCY,embla-carousel-react,^8.6.0,8.6.0,INSTALLED
frontend,DEPENDENCY,file-saver,^2.0.5,2.0.5,INSTALLED
frontend,DEPENDENCY,input-otp,^1.4.2,1.4.2,INSTALLED
frontend,DEPENDENCY,jspdf,^4.2.0,4.2.0,INSTALLED
frontend,DEPENDENCY,jspdf-autotable,^5.0.7,5.0.7,INSTALLED
frontend,DEPENDENCY,lucide-react,^0.507.0,0.507.0,INSTALLED
frontend,DEPENDENCY,next-themes,^0.4.6,0.4.6,INSTALLED
frontend,DEPENDENCY,react,^19.0.0,19.2.3,INSTALLED
frontend,DEPENDENCY,react-day-picker,8.10.1,8.10.1,INSTALLED
frontend,DEPENDENCY,react-dom,^19.0.0,19.2.3,INSTALLED
frontend,DEPENDENCY,react-hook-form,^7.56.2,7.69.0,INSTALLED
frontend,DEPENDENCY,react-resizable-panels,^3.0.1,3.0.6,INSTALLED
frontend,DEPENDENCY,react-router-dom,^7.5.1,7.11.0,INSTALLED
frontend,DEPENDENCY,react-scripts,5.0.1,5.0.1,INSTALLED
frontend,DEPENDENCY,recharts,^3.6.0,3.6.0,INSTALLED
frontend,DEPENDENCY,sonner,^2.0.3,2.0.7,INSTALLED
frontend,DEPENDENCY,tailwind-merge,^3.2.0,3.4.0,INSTALLED
frontend,DEPENDENCY,tailwindcss-animate,^1.0.7,1.0.7,INSTALLED
frontend,DEPENDENCY,vaul,^1.1.2,1.1.2,INSTALLED
frontend,DEPENDENCY,xlsx,^0.18.5,0.18.5,INSTALLED
frontend,DEPENDENCY,zod,^3.24.4,3.25.76,INSTALLED
frontend,DEV_DEPENDENCY,@babel/plugin-proposal-private-property-in-object,^7.21.11,7.21.11,INSTALLED
frontend,DEV_DEPENDENCY,@craco/craco,^7.1.0,7.1.0,INSTALLED
