application,file,module,classification
frontend,frontend/eslint.config.js,@eslint/js,DECLARED
frontend,frontend/eslint.config.js,eslint-plugin-react,DECLARED
frontend,frontend/eslint.config.js,eslint-plugin-react-hooks,DECLARED
frontend,frontend/craco.config.js,./plugins/health-check/health-endpoints,LOCAL
frontend,frontend/craco.config.js,./plugins/health-check/webpack-health-plugin,LOCAL
frontend,frontend/craco.config.js,@emergentbase/visual-edits,DECLARED
frontend,frontend/craco.config.js,dotenv,NOT_DECLARED
frontend,frontend/craco.config.js,path,NOT_DECLARED
frontend,frontend/tailwind.config.js,tailwindcss,DECLARED
frontend,frontend/tailwind.config.js,tailwindcss-animate,DECLARED
frontend,frontend/plugins/health-check/health-endpoints.js,os,NOT_DECLARED
frontend,frontend/src/App.js,./pages/AdminHub,LOCAL
frontend,frontend/src/App.js,./pages/CentroExcepciones,LOCAL
frontend,frontend/src/App.js,./pages/DashboardEjecutivo,LOCAL
frontend,frontend/src/App.js,@/components,NOT_DECLARED
frontend,frontend/src/App.js,@/contexts,NOT_DECLARED
frontend,frontend/src/App.js,@/lib,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/pages,NOT_DECLARED
frontend,frontend/src/App.js,@/portal-inteligencia,NOT_DECLARED
frontend,frontend/src/App.js,@/portal,NOT_DECLARED
frontend,frontend/src/App.js,react-router-dom,DECLARED
frontend,frontend/src/App.js,sonner,DECLARED
frontend,frontend/src/index.js,@/HostRouter,NOT_DECLARED
frontend,frontend/src/index.js,@/index.css,NOT_DECLARED
frontend,frontend/src/index.js,@/lib,NOT_DECLARED
frontend,frontend/src/index.js,react,DECLARED
frontend,frontend/src/index.js,react-dom,DECLARED
frontend,frontend/src/portal-inteligencia/utils/exportUtils.js,file-saver,DECLARED
frontend,frontend/src/portal-inteligencia/utils/exportUtils.js,jspdf,DECLARED
frontend,frontend/src/portal-inteligencia/utils/exportUtils.js,jspdf-autotable,DECLARED
frontend,frontend/src/portal-inteligencia/utils/exportUtils.js,xlsx,DECLARED
frontend,frontend/src/portal-inteligencia/utils/usePeriodo.js,react,DECLARED
frontend,frontend/src/portal-inteligencia/api/client.js,../../lib/api,LOCAL
frontend,frontend/src/portal-inteligencia/api/client.js,axios,DECLARED
frontend,frontend/src/pages/Compras.js,../components/PortalProveedoresTab,LOCAL
frontend,frontend/src/pages/Compras.js,../components/compras/DetalleProductoModal,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/button,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/card,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/checkbox,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/dialog,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/input,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/label,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/select,LOCAL
frontend,frontend/src/pages/Compras.js,../components/ui/tabs,LOCAL
frontend,frontend/src/pages/Compras.js,../contexts/AuthContext,LOCAL
frontend,frontend/src/pages/Compras.js,../hooks/useDetalleProducto,LOCAL
frontend,frontend/src/pages/Compras.js,../lib/api,LOCAL
frontend,frontend/src/pages/Compras.js,../lib/inventarioSelectorUtils,LOCAL
frontend,frontend/src/pages/Compras.js,../lib/roleUtils,LOCAL
frontend,frontend/src/pages/Compras.js,../portal-inteligencia/components/ExportButtons,LOCAL
frontend,frontend/src/pages/Compras.js,../services/authStorage,LOCAL
frontend,frontend/src/pages/Compras.js,../services/comprasUtils,LOCAL
frontend,frontend/src/pages/Compras.js,../services/logger,LOCAL
frontend,frontend/src/pages/Compras.js,../services/unidadesNegocioService,LOCAL
frontend,frontend/src/pages/Compras.js,lucide-react,DECLARED
frontend,frontend/src/pages/Compras.js,react,DECLARED
frontend,frontend/src/pages/Compras.js,sonner,DECLARED
frontend,frontend/src/pages/Nominas.js,../components/ui/button,LOCAL
frontend,frontend/src/pages/Nominas.js,../components/ui/card,LOCAL
frontend,frontend/src/pages/Nominas.js,../components/ui/input,LOCAL
frontend,frontend/src/pages/Nominas.js,../components/ui/label,LOCAL
frontend,frontend/src/pages/Nominas.js,../lib/api,LOCAL
frontend,frontend/src/pages/Nominas.js,../services/authStorage,LOCAL
frontend,frontend/src/pages/Nominas.js,../services/logger,LOCAL
frontend,frontend/src/pages/Nominas.js,lucide-react,DECLARED
frontend,frontend/src/pages/Nominas.js,react,DECLARED
frontend,frontend/src/pages/Nominas.js,sonner,DECLARED
frontend,frontend/src/pages/ResetPassword.js,@/components,NOT_DECLARED
frontend,frontend/src/pages/ResetPassword.js,axios,DECLARED
frontend,frontend/src/pages/ResetPassword.js,react,DECLARED
frontend,frontend/src/pages/ResetPassword.js,react-router-dom,DECLARED
frontend,frontend/src/pages/ReportesBI.js,../components/ui/card,LOCAL
frontend,frontend/src/pages/ReportesBI.js,lucide-react,DECLARED
frontend,frontend/src/pages/ReportesBI.js,react,DECLARED
frontend,frontend/src/pages/Finanzas.js,../components/PropinasTPV,LOCAL
