requirements_file,component,line,name,normalized_name,specifier,marker,status,installed_versions,raw
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,1,playwright,playwright,==1.47.0,,SECONDARY_COMPONENT:INSTALLED_VERSION_DIFFERS,1.58.0,playwright==1.47.0
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,2,pydantic,pydantic,==2.8.2,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,pydantic==2.8.2
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,3,pydantic-settings,pydantic-settings,==2.4.0,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,pydantic-settings==2.4.0
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,4,python-dotenv,python-dotenv,==1.0.1,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,python-dotenv==1.0.1
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,5,cryptography,cryptography,==43.0.1,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,cryptography==43.0.1
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,6,pymssql,pymssql,==2.3.1,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,pymssql==2.3.1
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,7,openpyxl,openpyxl,==3.1.5,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,openpyxl==3.1.5
netpay_robot_edarsahub/netpay_robot_edarsahub/requirements.txt,NETPAY_ROBOT,8,click,click,==8.1.7,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,click==8.1.7
backend/requirements.txt,BACKEND_MAIN,1,aiohappyeyeballs,aiohappyeyeballs,==2.6.1,,DECLARED_NOT_INSTALLED,,aiohappyeyeballs==2.6.1
backend/requirements.txt,BACKEND_MAIN,2,aiohttp,aiohttp,==3.13.3,,DECLARED_NOT_INSTALLED,,aiohttp==3.13.3
backend/requirements.txt,BACKEND_MAIN,3,aiohttp-retry,aiohttp-retry,==2.9.1,,DECLARED_NOT_INSTALLED,,aiohttp-retry==2.9.1
backend/requirements.txt,BACKEND_MAIN,4,aiosignal,aiosignal,==1.4.0,,DECLARED_NOT_INSTALLED,,aiosignal==1.4.0
backend/requirements.txt,BACKEND_MAIN,5,annotated-doc,annotated-doc,==0.0.4,,DECLARED_NOT_INSTALLED,,annotated-doc==0.0.4
backend/requirements.txt,BACKEND_MAIN,6,annotated-types,annotated-types,==0.7.0,,DECLARED_NOT_INSTALLED,,annotated-types==0.7.0
backend/requirements.txt,BACKEND_MAIN,7,anyio,anyio,==4.12.1,,DECLARED_NOT_INSTALLED,,anyio==4.12.1
backend/requirements.txt,BACKEND_MAIN,8,APScheduler,apscheduler,==3.11.2,,DECLARED_NOT_INSTALLED,,APScheduler==3.11.2
backend/requirements.txt,BACKEND_MAIN,9,attrs,attrs,==25.4.0,,DECLARED_NOT_INSTALLED,,attrs==25.4.0
backend/requirements.txt,BACKEND_MAIN,10,bcrypt,bcrypt,==4.1.3,,DECLARED_NOT_INSTALLED,,bcrypt==4.1.3
