file,line,module,classification,optional
fix_roles_permisos_sql.py,1,pathlib,STDLIB,False
fix_roles_permisos_sql.py,2,datetime,STDLIB,False
fix_roles_permisos_sql.py,3,re,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,3,asyncio,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,4,re,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,5,shutil,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,6,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,7,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,8,playwright,EXTERNAL_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,10,settings,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,11,models,LOCAL_PROJECT,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,12,hash_utils,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/portal.py,394,openpyxl,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,3,asyncio,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,4,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,5,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,6,click,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,8,settings,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,9,models,LOCAL_PROJECT,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,10,pipeline,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/cli.py,11,crypto,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/hash_utils.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/hash_utils.py,3,hashlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/hash_utils.py,4,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/settings.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/settings.py,3,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/settings.py,4,pydantic,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/settings.py,5,pydantic_settings,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/crypto.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/crypto.py,3,base64,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/crypto.py,4,hashlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/crypto.py,5,cryptography,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,3,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,4,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,5,decimal,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,7,settings,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,8,crypto,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,9,date_ranges,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,10,models,LOCAL_PROJECT,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,11,portal,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,12,layouts,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,13,importer,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,14,db,LOCAL_PROJECT,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,59,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/pipeline.py,152,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/layouts.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/layouts.py,3,dataclasses,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/layouts.py,4,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/layouts.py,5,typing,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/layouts.py,6,openpyxl,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/date_ranges.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/date_ranges.py,3,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/date_ranges.py,4,dataclasses,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,3,dataclasses,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,4,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,5,decimal,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,6,typing,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,8,openpyxl,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,10,hash_utils,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/importer.py,11,layouts,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/manual_import.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/manual_import.py,3,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/manual_import.py,4,layouts,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/manual_import.py,5,importer,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/manual_import.py,6,hash_utils,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/models.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/models.py,3,enum,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/models.py,4,dataclasses,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/models.py,5,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/models.py,6,pathlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/api_future.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/api_future.py,3,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/api_future.py,4,abc,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,1,__future__,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,3,contextlib,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,4,typing,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,6,pymssql,EXTERNAL_DECLARED_NOT_INSTALLED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,10,settings,UNRESOLVED,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,207,decimal,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,233,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,251,datetime,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,285,json,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,286,decimal,STDLIB,False
netpay_robot_edarsahub/netpay_robot_edarsahub/netpay_robot/db.py,287,datetime,STDLIB,False
scripts/export_edarsahub_full.py,8,os,STDLIB,False
scripts/export_edarsahub_full.py,8,re,STDLIB,False
scripts/export_edarsahub_full.py,8,json,STDLIB,False
scripts/export_edarsahub_full.py,8,shutil,STDLIB,False
scripts/export_edarsahub_full.py,8,zipfile,STDLIB,False
scripts/export_edarsahub_full.py,8,decimal,STDLIB,False
scripts/export_edarsahub_full.py,8,datetime,STDLIB,False
scripts/export_edarsahub_full.py,8,uuid,STDLIB,False
scripts/export_edarsahub_full.py,9,core,LOCAL_PROJECT,False
scripts/06_apply_inteligencia_fase1_patch.py,7,pathlib,STDLIB,False
scripts/06_apply_inteligencia_fase1_patch.py,8,shutil,STDLIB,False
scripts/export_edarsahub_audit.py,8,os,STDLIB,False
