area,archivo,linea,riesgo,es_gate,contexto_rol,usa_helper,patron,codigo
backend,backend/core/rbac/middleware.py,114,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if user.get(""role"") == ""Administrador"":"
backend,backend/core/rbac/middleware.py,174,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if user.get(""role"") == ""Administrador"":"
backend,backend/core/rbac/middleware.py,222,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if user.get(""role"") == ""Administrador"":"
backend,backend/core/security.py,520,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if user.get('role') == 'SuperAdministrador':
backend,backend/core/security.py,528,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if user.get('role') in ['Administrador', 'admin', 'Admin']:"
backend,backend/core/security.py,634,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user.get('role') in ['SuperAdministrador', 'Administrador']:"
backend,backend/core/security.py,687,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user.get('role') in ['SuperAdministrador', 'Administrador']:"
backend,backend/core/security.py,821,ALTO,NO,SI,NO,get('rol') [clave-equivocada],"mongo_role = user_mongo.get('role', user_mongo.get('rol'))"
backend,backend/core/server_registry.py,571,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if role in ['SuperAdministrador', 'Administrador']:"
backend,backend/core/server_registry.py,638,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if role not in ['SuperAdministrador', 'Administrador']:"
backend,backend/core/server_registry.py,729,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if role not in ['SuperAdministrador', 'Administrador']:"
backend,backend/migrations/_splice_rbac_endpoints.py,18,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if current_user.get('role') != 'SuperAdministrador':
backend,backend/migrations/_splice_rbac_endpoints.py,36,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if current_user.get('role') != 'SuperAdministrador':
backend,backend/migrations/_splice_rbac_endpoints.py,51,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if current_user.get('role') != 'SuperAdministrador':
backend,backend/migrations/_splice_rbac_endpoints.py,67,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if current_user.get('role') != 'SuperAdministrador':
backend,backend/migrations/_splice_rbac_endpoints.py,87,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if current_user.get('role') != 'SuperAdministrador':
backend,backend/migrations/auditar_hardcodes_rbac.py,41,ALTO,NO,SI,NO,get('rol') [clave-equivocada],"clave_rol_mala = ""current_user.get('rol')"" in line or 'current_user.get(""rol"")' in line"
backend,backend/modules/admin_sql/routes.py,32,ALTO,NO,SI,NO,get('rol') [clave-equivocada],"role = str(user.get(""role"") or user.get(""rol"") or """").upper()"
backend,backend/modules/auth/routes.py,673,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if current_user['role'] not in ['SuperAdministrador', 'Administrador']:"
backend,backend/modules/auth/service.py,301,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if 'role' in user_data and user_data['role'] == 'SuperAdministrador':
backend,backend/modules/auth/service.py,575,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador,if role == 'SuperAdministrador' and current_level < 100:
backend,backend/modules/catalogos/routes.py,55,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if role in ['Administrador', 'SuperAdministrador']:"
backend,backend/modules/catalogos/routes.py,58,ALTO,SI,SI,NO,nombre_legacy:Supervisor,"if role == 'Supervisor' and permiso in [PERM_SISTEMAS_SOLICITAR, PERM_SISTEMAS_CREAR, PERM_SISTEMAS_EDITAR]:"
backend,backend/modules/comercial/inteligencia_comercial_routes.py,112,ALTO,NO,SI,NO,get('rol') [clave-equivocada],"role = str(current_user.get(""role"") or current_user.get(""rol"") or """").upper()"
backend,backend/modules/costos_margenes/routes.py,88,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if role in ['SuperAdministrador', 'Administrador', 'admin', 'Admin']:"
backend,backend/modules/costos_margenes/routes.py,150,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if role in ['SuperAdministrador', 'Administrador', 'admin', 'Admin']:"
backend,backend/modules/costos_margenes/routes.py,154,ALTO,SI,SI,NO,nombre_legacy:Supervisor|Usuario,"if role in ['Supervisor', 'Comercial', 'Gerente', 'Usuario']:"
backend,backend/modules/costos_margenes/routes_precios.py,70,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if role in ['SuperAdministrador', 'Administrador', 'admin', 'Admin']:"
backend,backend/modules/costos_margenes/routes_precios.py,74,ALTO,SI,SI,NO,nombre_legacy:Supervisor,"if role in ['Gerente', 'Supervisor']:"
backend,backend/modules/costos_margenes/routes_precios.py,94,ALTO,SI,SI,NO,nombre_legacy:Usuario,if role in ['Usuario']:
backend,backend/modules/fase2_operativo/routes/automatizacion_compras_routes.py,102,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if user_role not in [""Administrador"", ""Gerente"", ""Director""]:"
backend,backend/modules/fase2_operativo/routes/automatizacion_compras_routes.py,570,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if user_role not in [""Administrador"", ""Gerente"", ""Director""]:"
backend,backend/modules/finanzas/propinas_tpv/routes_sql.py,363,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if current_user.get('role') not in ['admin', 'superadmin', 'Admin', 'Administrador']:"
backend,backend/modules/finanzas/propinas_tpv/routes_sql.py,395,ALTO,SI,SI,NO,nombre_legacy:Administrador,"if current_user.get('role') not in ['admin', 'superadmin', 'Admin', 'Administrador']:"
backend,backend/modules/rh/service.py,217,ALTO,SI,SI,NO,nombre_legacy:Administrador,if current_user.get('role') != 'Administrador':
backend,backend/server.py,775,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador|Supervisor,"if user_role not in [""SuperAdministrador"", ""Administrador"", ""Supervisor""]:"
backend,backend/server.py,801,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role not in [""SuperAdministrador"", ""Administrador""]:"
backend,backend/server.py,825,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role not in [""SuperAdministrador"", ""Administrador""]:"
backend,backend/server.py,884,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role not in [""SuperAdministrador"", ""Administrador""]:"
backend,backend/server.py,938,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role not in [""SuperAdministrador"", ""Administrador""]:"
backend,backend/server.py,1040,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role not in [""SuperAdministrador"", ""Administrador""]:"
backend,backend/server.py,1105,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role not in [""SuperAdministrador"", ""Administrador""]:"
backend,backend/server.py,1128,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador|Supervisor,"if user_role not in [""SuperAdministrador"", ""Administrador"", ""Supervisor""]:"
backend,backend/server.py,1152,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador|Supervisor,"if user_role not in [""SuperAdministrador"", ""Administrador"", ""Supervisor""]:"
backend,backend/server.py,1175,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role not in [""SuperAdministrador"", ""Administrador""]:"
backend,backend/server.py,1876,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if current_user['role'] not in ['SuperAdministrador', 'Administrador']:"
backend,backend/server.py,1989,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if current_user['role'] not in ['SuperAdministrador', 'Administrador']:"
