archivo,linea,riesgo,patrones,codigo
/app/backend/server.py,308,BAJO,Usuario,current_user: Usuario autenticado
/app/backend/server.py,323,BAJO,Usuario,"f""[RBAC-DENEGADO] Usuario {current_user.get('email')} """
/app/backend/server.py,775,ALTO,"SuperAdministrador, Administrador, Supervisor","if user_role not in [""SuperAdministrador"", ""Administrador"", ""Supervisor""]:"
/app/backend/server.py,801,ALTO,"SuperAdministrador, Administrador","if user_role not in [""SuperAdministrador"", ""Administrador""]:"
/app/backend/server.py,807,BAJO,"Usuario, ADMIN","logging.info(f""[ADMIN] Usuario {current_user.get('email')} ejecutando sync compras manual (dry_run={dry_run})"")"
/app/backend/server.py,825,ALTO,"SuperAdministrador, Administrador","if user_role not in [""SuperAdministrador"", ""Administrador""]:"
/app/backend/server.py,862,BAJO,"Usuario, ADMIN","logging.info(f""[ADMIN] Usuario {current_user.get('email')} liberó {len(active_locks)} locks de sync compras"")"
/app/backend/server.py,871,BAJO,ADMIN,"logging.error(f""[ADMIN] Error liberando locks: {e}"")"
/app/backend/server.py,884,ALTO,"SuperAdministrador, Administrador","if user_role not in [""SuperAdministrador"", ""Administrador""]:"
/app/backend/server.py,938,ALTO,"SuperAdministrador, Administrador","if user_role not in [""SuperAdministrador"", ""Administrador""]:"
/app/backend/server.py,969,BAJO,Usuario,"'Inventario_Movimientos': ['ServerID', 'OrigenSistema', 'DocumentoID', 'Folio', 'TipoMovimiento', 'FechaMovimiento', 'AlmacenOrigenID', 'AlmacenDestinoID', 'Observaciones', 'UsuarioID', 'FechaSync'],"
/app/backend/server.py,1040,ALTO,"SuperAdministrador, Administrador","if user_role not in [""SuperAdministrador"", ""Administrador""]:"
/app/backend/server.py,1105,ALTO,"SuperAdministrador, Administrador","if user_role not in [""SuperAdministrador"", ""Administrador""]:"
/app/backend/server.py,1111,BAJO,"Usuario, ADMIN","logging.info(f""[ADMIN] Usuario {current_user.get('email')} ejecutando detección manual (dry_run={dry_run})"")"
/app/backend/server.py,1128,ALTO,"SuperAdministrador, Administrador, Supervisor","if user_role not in [""SuperAdministrador"", ""Administrador"", ""Supervisor""]:"
/app/backend/server.py,1152,ALTO,"SuperAdministrador, Administrador, Supervisor","if user_role not in [""SuperAdministrador"", ""Administrador"", ""Supervisor""]:"
/app/backend/server.py,1175,ALTO,"SuperAdministrador, Administrador","if user_role not in [""SuperAdministrador"", ""Administrador""]:"
/app/backend/server.py,1180,BAJO,"Usuario, ADMIN","logging.info(f""[ADMIN] Usuario {current_user.get('email')} procesando eventos manualmente"")"
/app/backend/server.py,1260,BAJO,"Administrador, Supervisor, Usuario","name: str  # ""Administrador"", ""Supervisor"", ""Usuario"""
/app/backend/server.py,1873,BAJO,"SuperAdministrador, Administrador",RBAC: Solo SuperAdministrador o Administrador pueden crear servidores.
/app/backend/server.py,1876,ALTO,"SuperAdministrador, Administrador","if current_user['role'] not in ['SuperAdministrador', 'Administrador']:"
/app/backend/server.py,1877,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""No autorizado. Requiere rol SuperAdministrador o Administrador."")"
/app/backend/server.py,1985,BAJO,"SuperAdministrador, Administrador",RBAC: Solo SuperAdministrador o Administrador pueden actualizar servidores.
/app/backend/server.py,1986,BAJO,"SuperAdministrador, Administrador",Protección CORE: Ni SuperAdministrador ni Administrador pueden modificar conexiones CORE.
/app/backend/server.py,1989,ALTO,"SuperAdministrador, Administrador","if current_user['role'] not in ['SuperAdministrador', 'Administrador']:"
/app/backend/server.py,1990,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""No autorizado. Requiere rol SuperAdministrador o Administrador."")"
/app/backend/server.py,2043,BAJO,"SuperAdministrador, Administrador",RBAC: Solo SuperAdministrador o Administrador pueden eliminar servidores.
/app/backend/server.py,2044,BAJO,"SuperAdministrador, Administrador",Protección CORE: Ni SuperAdministrador ni Administrador pueden eliminar conexiones CORE.
/app/backend/server.py,2047,ALTO,"SuperAdministrador, Administrador","if current_user['role'] not in ['SuperAdministrador', 'Administrador']:"
/app/backend/server.py,2048,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""No autorizado. Requiere rol SuperAdministrador o Administrador."")"
/app/backend/server.py,2879,BAJO,Usuario,"f""[RBAC-ALMACENES] Usuario={current_user.get('email')}, """
/app/backend/server.py,3302,ALTO,"SuperAdministrador, Administrador","user_role in ['SuperAdministrador', 'Administrador']"
/app/backend/server.py,3303,MEDIO,"SUPERADMIN, ADMIN","or user_role.upper() in ['SUPERADMIN', 'ADMIN', 'ADMINISTRADOR']"
/app/backend/server.py,3320,BAJO,Usuario,"logging.warning(f""[UNIDADES_NEGOCIO] Usuario {current_user.get('email')} sin unidades permitidas"")"
/app/backend/server.py,3411,BAJO,Usuario,"f""[RBAC-ALMACENES-SR] Usuario={current_user.get('email')}, """
/app/backend/server.py,3481,BAJO,Usuario,"f""[RBAC-INVENTARIOS-LIST] Usuario={current_user.get('email')}, """
/app/backend/server.py,3598,BAJO,Usuario,"f""[RBAC-PENDIENTES-403] Usuario={current_user.get('email')}, """
/app/backend/server.py,3606,BAJO,Usuario,"f""[RBAC-PENDIENTES] Usuario={current_user.get('email')}, """
/app/backend/server.py,6155,BAJO,Usuario,"f""[RBAC-EXPORT-INV] Usuario={current_user.get('email')}, """
/app/backend/server.py,6182,BAJO,Usuario,"f""[RBAC-EXPORT-INV-403] Usuario={current_user.get('email')}, """
/app/backend/server.py,6475,BAJO,Administrador,SEGURIDAD: Mantiene validación de rol Admin/Administrador.
/app/backend/server.py,7301,BAJO,Usuario,"f""[RBAC-DENEGADO] Usuario {user.get('email')} """
/app/backend/server.py,7333,BAJO,Usuario,"f""Usuario={access['user'].get('email')}, Server={server_id}, """
/app/backend/server.py,7589,BAJO,Usuario,"f""Usuario={access['user'].get('email')}, Server={server_id}"""
/app/backend/server.py,7945,BAJO,Usuario,"f""[RBAC-DETALLE-PEDIDO] Usuario={access['user'].get('email')}, """
/app/backend/server.py,8002,BAJO,Usuario,"f""[RBAC-CALCULO-PEDIDO] Usuario={access['user'].get('email')}, """
/app/backend/server.py,11975,BAJO,Administrador,SEGURIDAD: Validación estricta de rol Administrador + bloqueo de SQL peligroso.
/app/backend/server.py,12020,BAJO,"SUPERADMIN, ADMIN",SOLO SUPERADMINISTRADOR - ENDPOINT ALTAMENTE RESTRINGIDO.
/app/backend/server.py,12022,BAJO,"SuperAdministrador, Administrador",FASE 1B: BLOQUEADO por defecto. Solo SuperAdministrador puede usar.
/app/backend/server.py,12033,BAJO,"SuperAdministrador, Administrador","f""Rol: {current_user.get('role')}. Solo SuperAdministrador permitido."""
