tipo,key_normalizada,mongo_existe,mongo_source,mongo_id,mongo_nombre,mongo_modulo,mongo_user,mongo_role,sql_existe,sql_source,sql_id,sql_nombre,sql_modulo,sql_user,sql_role,dictamen,accion_recomendada,riesgo,motivo
ROL,admin,True,edarsa_hub.rbac_roles,69e42eedfb75b19aabd0acdd,ADMIN,,,,True,dbo.Usuario_Roles,1,Administrador,,,,CUBIERTO_EN_SQL,CANDIDATA_A_BORRADO_FUTURO,BAJO,Existe en Mongo y SQL (llave normalizada equivalente).
ROL,administrador_comercial,False,,,,,,,True,dbo.Usuario_Roles,17,Administrador Comercial,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,administrador_de_usuarios,True,edarsa_hub.sec_roles,69e738e90800eb46a1e1f038,Administrador de Usuarios,,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
ROL,analista_comercial,False,,,,,,,True,dbo.Usuario_Roles,19,Analista Comercial,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,auditor,True,edarsa_hub.rbac_roles,69e42eedfb75b19aabd0ace2,AUDITOR,,,,True,dbo.Usuario_Roles,13,Auditor,,,,CUBIERTO_EN_SQL,CANDIDATA_A_BORRADO_FUTURO,BAJO,Existe en Mongo y SQL (llave normalizada equivalente).
ROL,compras,False,,,,,,,True,dbo.Usuario_Roles,3,Compras,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,configurador_comercial,False,,,,,,,True,dbo.Usuario_Roles,21,Configurador Comercial,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,crm_administrador,False,,,,,,,True,dbo.Usuario_Roles,14,CRM_Administrador,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,crm_auditor,False,,,,,,,True,dbo.Usuario_Roles,16,CRM_Auditor,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,crm_ejecutivo,False,,,,,,,True,dbo.Usuario_Roles,15,CRM_Ejecutivo,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,direccion,True,edarsa_hub.rbac_roles,69e42eedfb75b19aabd0acde,DIRECCION,,,,True,dbo.Usuario_Roles,10,Dirección,,,,CUBIERTO_EN_SQL,CANDIDATA_A_BORRADO_FUTURO,BAJO,Existe en Mongo y SQL (llave normalizada equivalente).
ROL,gerencia,False,,,,,,,True,dbo.Usuario_Roles,2,Gerencia,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,gerente,False,,,,,,,True,dbo.Usuario_Roles,22,Gerente,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,gerente_de_unidad,False,,,,,,,True,dbo.Usuario_Roles,18,Gerente de Unidad,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,gerente_operaciones,False,,,,,,,True,dbo.Usuario_Roles,11,Gerente Operaciones,,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
ROL,gerente_ops,True,edarsa_hub.rbac_roles,69e42eedfb75b19aabd0acdf,GERENTE_OPS,,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
